state,x,y
Amazonas,42,-216
Antioquia,-100,105
Arauca,77,98
Atlantico,-80,263
Bolivar,-49,169
Boyaca,-3,63
Caldas,-91,50
Caqueta,-49,-129
Casanare,46,52
Cauca,-158,-60
Cesar,-19,225
Choco,-155,60
Cordoba,-113,171
Cundinamarca,-47,42
DC,-46,20
Guainia,154,-54
Guajira,10,287
Guaviare,26,-83
Huila,-104,-60
Magdalena,-57,244
Meta,-1,-20
Nariño,-194,-98
Norte de Santander,2,157
Putumayo,-115,-142
Quindio,-109,13
Risaralda,-119,48
Santander,-23,102
Sucre,-82,194
Tolima,-90,-8
Valle del Cauca,-145,-15
Vaupes,88,-127
Vichada,129,25
