title,image_url,image_credit,description,watch_link
Wonder Man season 1,https://cdn.mos.cms.futurecdn.net/KkVYWKfqJjcefAgaD5vXW3.jpg,Disney,"A Hollywood star becomes a legit superhero in Wonder Man, which features Yahya Abdul-Mateen II as protagonist Simon Williams. Don’t miss this one as it is among the best MCU TV shows made to date. It features Ben Kingsley as Tony Slattery, Williams’s unlikely partner, who you may well remember from Iron Man 3 or Shang-Chi. The entire 8-episode run is available now, and unusually each episode is only around a half-hour a pop.",https://disneyplus.bn5x.net/c/221109/564546/9358?subId1=shortlist-de-1323230513515553406&sharedId=shortlist-de&u=https%3A%2F%2Fwww.disneyplus.com%2Fen-gb%2Fbrowse%2Fentity-555c5896-02e4-4873-8fa9-ce090dcd874b
Take That,https://cdn.mos.cms.futurecdn.net/wZUEFNuB7DF6EFF9CwbeQ7.jpg,Netflix,"You had to be there. Take That were part of the fabric of UK popular culture in the 1990s. This three part documentary series takes us through the boys’ early years, their epic success and split. And then their successful reunion tours, the first of which was a brain-melting 20 years ago in 2006. It’s an entertaining watch, suffused with a healthy dose of nostalgia.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-3479630149808361903/https://www.netflix.com/title/81901625
Shrinking season 3,https://cdn.mos.cms.futurecdn.net/rcUk7y4pY3moncwFJqobvC.jpg,Apple,"Want to laugh? Want to cry? You get both with Shrinking season 3, which continues the show’s reputation as one of Apple TV’s funniest and most affecting shows. This time around the pervasive theme is about the characters moving to a new stage of life in one way or another. And Harrison Ford is a real highlight as Paul, a man suffering from Parkinson’s.",http://tv.apple.com/channel/tvs.sbd.4000?at=1001l369U&ct=shortlist-de-8465333185120368087&itscg=30200&itsct=Future_TV
Bridgerton season 4 part 1,https://cdn.mos.cms.futurecdn.net/Xoz73HDgQjcxs6FRuzRArG.jpg,Netflix,"The nonsense continues at pace with Bridgerton’s fourth season. Luke Thompson’s Benedict is under the narrative spotlight as the man who simply must marry this time around. But he’s also an unrepentant rake who refuses to settle down. As usual, it’s silly stuff but Bridgerton remains a great time if you sufficiently empty your head before hitting the play button.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-2080258600169106784/https://www.netflix.com/watch/80232398
The Wrecking Crew,https://cdn.mos.cms.futurecdn.net/6DgYaqouT43HYMoKuMSr4V.jpg,Amazon,"The buddy cop genre is back, this time with Jason Momoa and a slimmer-than-usual Dave Bautista. OK, sort of. They play half brothers, one a police officer, the other a Navy SEAL. The pair are drawn together, not without friction, to try to uncover what really happened to their father, who was murdered in Hawaii. It’s a charming throwback with great chemistry between the two Hollywood leads.",https://target.georiot.com/Proxy.ashx?tsid=357512&GR_URL=https%3A%2F%2Famazon.co.uk%2Fgp%2Fvideo%2Fdetail%2Famzn1.dv.gti.542e5c48-8f6b-46ec-b27c-10c49f154f61%3Ftag%3Dhawk-future-21%26ascsubtag%3Dshortlist-de-6320312401458908957-21
Steal,https://cdn.mos.cms.futurecdn.net/RwNrsknFn2fsRBz9fQnYxF.jpg,Amazon,"Game of Thrones star Sophie Turner stars in Steal, a 6-part thriller. She is an office worker who gets caught up in a multi-billion-pound heist at a pension fund. It’s not based on a true story as such, but does blend a certain sense of believability with the twists and turns we’re looking for in a series fit for a good old binge.",https://target.georiot.com/Proxy.ashx?tsid=357512&GR_URL=https%3A%2F%2Famazon.co.uk%2FSteal%2Fdp%2FB0G2VBYMJX%2F%3Ftag%3Dhawk-future-21%26ascsubtag%3Dshortlist-de-3040018099991307647-21
Kidnapped: Elizabeth Smart,https://cdn.mos.cms.futurecdn.net/Eqb2VEWunjVobcn2zaAxoW.jpg,Netflix,"A 14-year old girl is kidnapped from her home and abused for months. There’s no mystery to the outcome of this one as the woman herself, Elizabeth Smart, is a campaigner who features prominently in the documentary. But this 90-minute doc is a compelling watch for those many, many fans of the true crime genre.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-6824715903781846628/https://www.netflix.com/title/81744530
Things You Should Have Done,https://cdn.mos.cms.futurecdn.net/v4QHSEkNipEg2vXXsDnhN8.jpg,BBC,"More people should check out the BBC’s Things You Should Have Done, which just dropped its second season. In season one Chi’s parent die and she is left to fend for herself in the world. And to get her inheritance she has to complete a certain set of unusual tasks. Season two sees yet another death in the family, and Bridget Christie rising up as co-star — Chi’s therapist.",https://www.bbc.co.uk/iplayer/episodes/m001wry5
A Knight of the Seven Kingdoms,https://cdn.mos.cms.futurecdn.net/4ogEMw6JwcgmarZb8fV24K.jpg,HBO,"A Game of Thrones spin-off with a smaller scale and smaller budget, with episodes clicking in at under a mere $10 million a pop. We follow the travails of Dunk the knight and his squire Egg. It’s set a hundred years before the events of the Game of Thrones series, when the Targaryen clan still sits on the Iron Thrones. It could well end up better than House of the Dragon.",https://www.awin1.com/awclick.php?awinmid=11006&awinaffid=103504&clickref=shortlist-de-1204703562311661678&p=https%3A%2F%2Fwww.nowtv.com%2Fwatch%2Fa-knight-of-the-seven-kingdoms%2FiYEQZ2rcf32Y6xHvGKn7WU
Skyscraper Live,https://cdn.mos.cms.futurecdn.net/wLxv5XahWgJGxx6uPkr7xZ.jpg,Netflix,"We write this before the stream takes place, so have fingers crossed it all goes OK. Free Solo star and free-climbing legend Alex Honnold is taking part in a live stream where he scales a skyscraper in Taiwan. It takes place at 1am on Saturday morning, and is expected to run for two hours. Expect a nail-biting time.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-1162540538164026760/https://www.netflix.com/gb/title/81987107
Agatha Christie's The Seven Dials,https://cdn.mos.cms.futurecdn.net/YukGjgJR9jXhJ8HBWhrmfk.jpg,Netflix,"Originally released in 1929, The Seven Dials Mystery is one of Christie’s earlier stories. And here it gets recreated as a three-parter featuring Martin Freeman and Helena Bonham Carter as the head-turner names, while Mia McKenna-Bruce stars as Lady Eileen Brent. It has all the classic Christie sleuthing, with a more modern sensibility applied. Reactions are mixed, but plenty are getting on with this Chris Chibnall (Broadchurch, Doctor Who) take on one of Christie’s lesser-known classics.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-4050542632076218401/https://www.netflix.com/gb/title/81314952
Hijack season 2,https://cdn.mos.cms.futurecdn.net/2QvKZq2CQMZLKRZ3nmAfy4.jpg,Apple,"Idris Elba returns as Sam Nelson in Hijack season 2, but how do you follow up a show about a hijacked plane flight that — supposedly — unfolds in real time? You switch it up to a train instead, of course. This is more of the same bingeable and pretty thrilling stuff. As good as the first season? Perhaps it lacks some of that series’s high-concept pep, but if you liked the original, you’ll likely enjoy this one too.",https://tv.apple.com/channel/tvs.sbd.4000?at=1001l369U&ct=shortlist-de-5346073957873509326&itscg=30200&itsct=Future_TV
The Rip,https://cdn.mos.cms.futurecdn.net/iwJNXWNnXR3GfMLwLGbAmD.jpg,Netflix,"Matt Damon and Ben Affleck represent one of Hollywood’s most enduring bromances. But we don’t actually get to see them star side-by-side all that often these days. The Rip brings us just that. Damon is Dane Dumars, Affleck is JD Byrne, a couple of police agents who are part of a team that finds a massive stash of cash — $24 million of it — in an abandoned house. But with all that money on the line, they’re not sure who they can really trust on their own team. From The Grey director Joe Carnahan.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-1018883257112679803/https://www.netflix.com/watch/81915745
Heated Rivalry,https://cdn.mos.cms.futurecdn.net/FQZDNEinVX6trszE7hj67T.jpg,NOW,"Originally released in the US on HBO back in November, Heated Rivalry has finally made it to the UK courtesy of NOW. It’s about the relationship between two ice hockey players, Shane Hollander and Ilya Rozanov. One is a Canadian, the other a Russian.",https://www.awin1.com/awclick.php?awinmid=11006&awinaffid=103504&clickref=shortlist-de-9565062011499623412&p=https%3A%2F%2Fwww.nowtv.com%2Fmembership%2Fwatch-tv-shows%2Fwatch-heated-rivalry
Star Trek: Starfleet Academy,https://cdn.mos.cms.futurecdn.net/Leu5sWNasXSNGqN2GiFewf.jpg,Paramount Plus,"Star Trek goes YA in Starfleet Academy, a series in which Holly Hunter plays Starfleet captain Nahla Ake. While parts of the season focus on the older cast, the series is really about the younger academy students, and often their relationships and romances. Old-school Trekkies may be initially charmed by the easter egg references, but you will also need to prepare for the fact that this is an altogether different kind of Star Trek show.",https://target.georiot.com/Proxy.ashx?tsid=357512&GR_URL=https%3A%2F%2Famazon.co.uk%2Fgp%2Fvideo%2Fdetail%2FB0GD2C9W65%2F%3Ftag%3Dhawk-future-21%26ascsubtag%3Dshortlist-de-1186870725741389174-21
